	popularity	popularity	popularity	popularity	popularity	popularity	popularity	popularity	runtime	runtime	runtime	runtime	runtime	runtime	runtime	runtime	vote_average	vote_average	vote_average	vote_average	vote_average	vote_average	vote_average	vote_average	vote_count	vote_count	vote_count	vote_count	vote_count	vote_count	vote_count	vote_count
	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
release_year																																
1986	121.0	0.5095454710743802	0.39223297445179334	0.001567	0.253984	0.389778	0.642842	2.485419	121.0	99.93388429752066	18.36697014443322	2.0	90.0	100.0	111.0	142.0	121.0	6.004958677685954	0.8493969664482973	3.5	5.4	6.1	6.6	8.0	121.0	113.01652892561984	239.69630032852928	10.0	18.0	32.0	105.0	2027.0
1987	125.0	0.5046365119999998	0.4884037817094155	0.005529	0.207159	0.34575300000000003	0.598029	3.474728	125.0	101.168	22.27277232624565	4.0	92.0	98.0	109.0	230.0	125.0	6.128800000000002	0.8483205419742493	2.8	5.8	6.2	6.7	7.7	125.0	120.512	228.51839115654175	10.0	14.0	32.0	103.0	1311.0
1988	145.0	0.4650390827586204	0.471536033212063	0.001662	0.195211	0.32106799999999996	0.5385220000000001	3.7774410000000005	145.0	101.79310344827586	20.43889828778427	5.0	91.0	100.0	110.0	180.0	145.0	5.9655172413793105	0.839508727896595	3.8	5.5	6.0	6.6	8.0	145.0	100.52413793103449	267.2455197306252	10.0	18.0	28.0	76.0	2800.0
1989	137.0	0.5636580656934305	0.6801008369551901	0.010015999999999999	0.208511	0.355479	0.531317	4.143585	137.0	104.78102189781022	27.828179573227768	4.0	94.0	101.0	112.0	372.0	137.0	6.070072992700727	0.8561511826623065	2.3	5.5	6.0	6.7	8.4	137.0	136.1824817518248	327.38500942580845	10.0	17.0	33.0	110.0	2436.0
1990	132.0	0.5357348181818182	0.5403560727522275	0.024987	0.24256499999999998	0.3851635	0.55285975	2.679627	132.0	105.65151515151516	20.57085496576818	23.0	94.0	103.0	115.0	192.0	132.0	5.993939393939392	0.776148012145159	3.8	5.4	6.0	6.5	8.0	132.0	163.4469696969697	346.8627181723666	10.0	18.0	36.0	110.25	1939.0
1991	133.0	0.5010899172932328	0.5275572971726741	0.048237	0.23171	0.350342	0.621413	3.852269	133.0	105.11278195488721	20.10527374480664	75.0	92.0	102.0	112.0	236.0	133.0	6.014285714285716	0.838572276672359	3.1	5.5	6.0	6.6	7.9	133.0	127.86466165413533	373.76272212977847	10.0	14.0	26.0	94.0	2836.0
1992	133.0	0.5829125112781952	0.658477528264283	0.00686299999999999	0.250137	0.43707299999999893	0.6871970000000001	4.586426	133.0	107.03007518796993	19.522302649838196	26.0	96.0	104.0	117.0	202.0	133.0	6.081203007518796	0.7791944534931721	4.0	5.6	6.1	6.6	8.4	133.0	146.21804511278197	307.2983778109484	10.0	18.0	50.0	131.0	2121.0
1993	178.0	0.547055915730337	0.4362772895650215	0.012941	0.2636945	0.45188249999999996	0.7017724999999999	2.571339	178.0	107.12359550561797	24.783957005539055	25.0	95.0	103.0	115.0	254.0	178.0	6.049999999999996	0.9114618543111975	3.4	5.5	6.1	6.7749999999999995	8.1	178.0	136.42696629213484	345.91065067696536	10.0	18.0	40.0	112.75	3169.0
1994	184.0	0.6688246358695653	1.0165373236716129	0.061916	0.25478075	0.4168885	0.6762570000000001	8.09375399999999	184.0	106.91304347826087	28.76213060270123	13.0	95.0	102.5	113.25	366.0	184.0	5.942391304347828	0.8822764514337745	3.9	5.3	6.0	6.5	8.4	184.0	204.29891304347825	732.4738476458738	10.0	17.0	36.5	96.75	5754.0
1995	175.0	0.7107220914285716	0.6931096931179838	0.013131	0.309044	0.502955	0.8386664999999995	4.76535899999999	175.0	107.54857142857144	26.840025988696286	30.0	93.5	103.0	116.0	300.0	175.0	6.056	0.886654567370563	3.5	5.4	6.1	6.7	8.5	175.0	204.62857142857143	469.1466259606328	10.0	19.0	54.0	170.5	3535.0
1996	204.0	0.6047683676470585	0.5623787745162169	0.028143	0.3008505	0.454557	0.703379	4.480733	204.0	105.70588235294117	21.05684927020331	12.0	92.0	102.5	114.0	242.0	204.0	5.900980392156861	0.8474238095039172	3.3	5.375000000000001	5.95	6.5	7.9	204.0	127.6029411764706	259.5134784718287	10.0	17.0	40.0	99.25	2000.0
1997	192.0	0.7120032812499999	0.7979056470387244	0.022144999999999998	0.26102525	0.4654635	0.82755775	6.66898999999999	192.0	106.50520833333333	25.722237083594454	3.0	93.0	103.0	117.25	273.0	192.0	5.9885416666666655	0.8114842959988229	3.2	5.4	6.0	6.5	7.8	192.0	213.46354166666666	497.84540875642557	10.0	18.0	45.5	170.5	4654.0
1998	210.0	0.6261647047619044	0.5856489313537896	0.029699	0.23381049999999998	0.4500065	0.79210925	4.180540000000001	210.0	105.06190476190476	21.98892666493873	44.0	91.0	100.0	116.0	182.0	210.0	5.970476190476191	0.8722103922391177	2.9	5.4	6.1	6.6	8.0	210.0	190.67619047619047	392.5433933953503	10.0	16.0	47.5	184.0	3396.0
1999	224.0	0.6457989776785711	0.9371238034500101	0.015074	0.21518875	0.370755	0.7338847500000001	8.947905	224.0	108.86160714285714	25.865182530975225	33.0	94.0	102.0	120.0	257.0	224.0	6.032589285714286	0.9002045064468909	3.4	5.475	6.1	6.6	8.1	224.0	238.60267857142858	679.6578657839111	10.0	17.0	39.5	172.75	6351.0
2000	227.0	0.5467993480176212	0.5555066007747649	0.0040100000000000005	0.19548949999999998	0.381729	0.693392	4.271452	227.0	103.77973568281938	34.04415318819825	0.0	91.0	102.0	115.0	417.0	227.0	5.882378854625548	0.8946485823621342	3.5	5.3	5.9	6.4	8.5	227.0	203.55066079295153	425.8101189237757	10.0	19.5	49.0	191.5	3531.0
2001	242.0	0.7026576983471077	0.967583228938262	0.001349	0.22524724999999998	0.433135	0.7459795	8.575419	242.0	108.03305785123968	48.73945190862825	3.0	91.0	99.0	115.0	705.0	242.0	5.896280991735536	0.856429558554478	3.6	5.4	5.9	6.5	8.0	242.0	260.5702479338843	648.7231739775756	10.0	19.0	51.0	191.0	6079.0
2002	266.0	0.7014543195488726	0.8558155117490792	0.009266	0.24029375	0.45876700000000004	0.8914689999999992	8.095275	266.0	106.86466165413533	55.333743085456945	0.0	92.0	99.0	113.0	877.0	266.0	5.973308270676693	0.8188360093883026	3.3	5.5	6.0	6.5	8.3	266.0	236.4812030075188	556.9392040463939	10.0	22.0	53.5	190.0	5114.0
2003	281.0	0.7190828825622771	0.9750044652833965	0.013546	0.226503	0.42271099999999995	0.8206110000000001	7.122455	281.0	100.6797153024911	33.73040036065517	0.0	90.0	100.0	112.0	352.0	281.0	5.930960854092528	0.8512189590929399	3.4	5.3	6.0	6.5	8.0	281.0	243.50533807829183	596.3961298678948	10.0	16.0	48.0	196.0	5636.0
2004	307.0	0.7224384104234526	0.7841691522140313	0.001117	0.24432150000000002	0.45526300000000003	0.910344	5.827781	307.0	105.36482084690553	29.77887680018961	5.0	91.0	100.0	113.5	360.0	307.0	5.988599348534196	0.8506631356338259	2.1	5.5	6.0	6.6	7.8	307.0	257.9804560260586	493.0506671743771	10.0	18.0	57.0	247.5	3550.0
2005	364.0	0.6286633324175831	0.7044284513536437	0.000973	0.22562025000000002	0.414138	0.74949825	5.939927	364.0	102.68681318681318	25.552856508943528	0.0	92.0	100.0	112.25	240.0	364.0	5.866483516483515	0.9216572373113697	2.5	5.2749999999999995	5.9	6.5	8.3	364.0	201.47252747252747	460.69285085016065	10.0	16.0	48.0	181.25	4914.0
2006	408.0	0.6063707107843131	0.6784888852088703	0.001115	0.21859174999999997	0.404138	0.73173975	5.838503	408.0	101.68382352941177	33.605026725431095	0.0	90.0	98.0	110.0	550.0	408.0	5.941421568627451	0.8632120683322759	2.8	5.3	6.0	6.5	8.7	408.0	186.47794117647058	406.7854863987224	10.0	19.75	46.0	154.0	3181.0
2007	438.0	0.593160684931507	0.6231375387473473	0.004196	0.21578324999999998	0.41097	0.67988675	4.965391	438.0	100.41095890410959	22.708279692308707	6.0	90.0	97.0	110.0	270.0	438.0	5.964383561643841	0.9062765925228302	1.5	5.4	6.0	6.6	7.9	438.0	206.37214611872147	449.5082702119911	10.0	18.0	40.5	160.5	3428.0
2008	496.0	0.5848169173387102	0.725798423924433	0.001317	0.19937125000000003	0.37530700000000006	0.6978800000000001	8.46666799999999	496.0	100.28024193548387	34.39738204658198	0.0	90.0	97.0	110.0	501.0	496.0	5.9308467741935535	0.9450969105937315	2.6	5.3	6.0	6.5	8.5	496.0	206.77822580645162	604.8758944498796	10.0	17.0	34.5	144.25	8432.0
2009	533.0	0.6001783752345219	0.8127602039116193	0.001423	0.216906	0.381469	0.652939	9.432768	533.0	98.05065666041276	30.356330930721935	0.0	89.0	95.0	106.0	500.0	533.0	5.85666041275797	0.9379116695495759	3.1	5.3	5.9	6.5	8.3	533.0	224.55722326454034	637.9289585932156	10.0	17.0	38.0	156.0	8458.0
2010	490.0	0.6449583387755091	0.8246934716924994	0.0044329999999999994	0.21381250000000002	0.40074050000000006	0.7771589999999992	9.363643	490.0	98.12040816326531	37.863059029836265	0.0	89.0	97.0	108.0	540.0	490.0	5.990816326530612	1.0216958049895815	2.1	5.4	6.0	6.6	8.8	490.0	265.6102040816327	714.6067669624364	10.0	17.0	40.0	189.0	9767.0
2011	540.0	0.675069303703704	0.8679123510959473	0.002006	0.2243785	0.41872800000000004	0.81297775	8.411577000000001	540.0	97.92222222222222	45.860373987661596	0.0	89.0	96.0	107.0	900.0	540.0	5.958518518518517	0.9878959621025042	2.1	5.3	6.0	6.6	9.2	540.0	250.81296296296296	567.282357323034	10.0	17.0	45.5	194.5	5025.0
2012	588.0	0.6071972176870744	0.8678562770803674	0.001372	0.165586	0.333248	0.6357645000000001	7.637767	588.0	97.97108843537416	29.496065874114272	0.0	89.0	95.0	106.0	389.0	588.0	5.799829931972789	1.0207639713309278	2.0	5.2	5.8	6.5	8.3	588.0	312.14115646258506	909.8997279723994	10.0	16.0	35.0	169.5	8903.0
2013	659.0	0.6276273065250376	0.8284029623689677	0.00062	0.17023900000000003	0.347558	0.7443525	6.112766000000001	659.0	96.04400606980273	26.86874897469191	0.0	88.0	95.0	106.0	400.0	659.0	5.880576631259484	1.0509594551711103	2.2	5.25	5.9	6.6	8.5	659.0	325.47192716236725	746.4132270516861	10.0	17.0	40.0	191.5	6882.0
2014	700.0	0.8872684100000011	1.7521495453816622	0.0025989999999999997	0.178592	0.36988350000000003	0.7969715	24.949134	700.0	98.33142857142857	24.45974499623848	0.0	89.0	96.0	107.0	285.0	700.0	5.92071428571429	1.0589827243077097	2.4	5.2	6.0	6.7	8.8	700.0	294.66	701.833620404162	10.0	18.0	45.0	190.5	6498.0
2015	629.0	1.0306567551669303	2.2339579803637	0.00392	0.203224	0.394466	0.956096	32.985763	629.0	96.3751987281399	26.087965265389148	0.0	88.0	95.0	107.0	300.0	629.0	5.885691573926863	1.0872826118219168	2.4	5.2	5.9	6.7	8.9	629.0	290.0190779014308	702.5984254224846	10.0	18.0	44.0	197.0	6185.0
